country_name,city_name,nominal_num_bikes,cityhall,launch_date,closed_date,timezone,operator,operator_name,system_type,system_website,technology
USA,San Jose Airport Place ,50,,,,America/Los_Angeles,Zagster,Hudson Pacific Properties,Dock-based,http://zagster.com/hudsonpacific/,Zagster
USA,San Mateo,50,City of San Mateo,2016-05-06,,America/Los_Angeles,Social Bicycles,Bay Bike Share,Hybrid,https://www.baybikeshare.com/,SoBi
USA,Santa Barbara (University of California),0,UC Santa Barbara,,,America/Los_Angeles,Hopr,HOPR Bike Share,Dock-based,https://gohopr.com/ucsb/,Hopr
USA,Santa Cruz,590,City of Santa Cruz,2018-05-15,,America/Los_Angeles,JUMP by Uber,JUMP,Dock-based,https://www.jump.com/us/en/cities/santa-cruz/,SoBi
USA,Santa Monica,356,City of Santa Monica,2015-11-12,2020-11-07,America/Los_Angeles,CycleHop,Bike Share Connect,Hybrid,http://bikeshareconnect.com/,SoBi
USA,Saratoga Springs,200,Capital District Transportation Authority,2017-07-27,,America/New_York,SoBi,CDPHP Cycle!,Hybrid,https://cdphpcycle.com/,SoBi
USA,Scheneclady,200,Capital District Transportation Authority,2017-07-27,,America/New_York,SoBi,CDPHP Cycle!,Hybrid,https://cdphpcycle.com/,SoBi
USA,Seattle,84,,,,America/Los_Angeles,,Pronto,, http://www.prontocycleshare.com/,
USA,South Florida (University Of),100,,2015-12-07,,America/New_York,Hopr,Coast Bike Share,Pure dockless,http://coastbikeshare.com/,Hopr
USA,Space Coast,50,,,,America/New_York,Zagster,Space Coast,Dock-based,http://zagster.com/spacecoast/,Zagster
USA,St George,50,,,,America/Denver,Zagster,Live Well St. George,Dock-based,http://zagster.com/livewellstg/,Zagster
USA,St. Petersburg,200,,2015-12-07,,America/New_York,CycleHop,Coast Bike Share,Hybrid,http://coastbikeshare.com/,SoBi
USA,State College,295,PennState Transportation Services,2021-08-16,,America/New_York,Spin,Spin,Dock-based,https://transportation.psu.edu/spin-e-bike-share-program,Segway Ninebot Urban A200
USA,Stony Brook University,12,Stony Brook University,2013-04-19,,America/New_York,Stony Brook University,Wolf Ride Bike Share,Dock-based,https://www.stonybrook.edu/commcms/sustainability/transportation/_Wolf_Ride_Bike_Share/,PBSC
USA,Tampa,300,,2015-12-07,,America/New_York,Hopr,Coast Bike Share,Virtual zone dockless,http://coastbikeshare.com/,Hopr
USA,Topeka,179,Topeka Metropolitan Transit Authority,2015-04-15,2020-07-30,America/Chicago,Topeka Metropolitan Transit Authority,Topeka Metro Bikes,Hybrid,https://topekametrobikes.org/,SoBi
USA,Tucson,300,City of Tucson,2017-11-17,,America/Phoenix,Shift Transit (PBSC),tugo,Dock-based,https://tugobikeshare.com/,PBSC
USA,Tulsa,100,City of Tulsa,2018-07-27,2020-06-29,America/Chicago,BCycle,This Machine,Hybrid,https://thismachine.bcycle.com/,BCycle
USA,UC San Diego,52,,,,America/Los_Angeles,Spin,Spin,Dock-based,,Spin
USA,UCLA,703,UCLA Transportation,2016-05-10,,America/Los_Angeles,CycleHop,Bruin Bike Share,Hybrid,http://bruinbikeshare.com/,SoBi
USA,Virginia UVA,86,University of Virginia,,2020-05-18,America/New_York,University of Virginia Parking and Transportation,UBike,Hybrid,http://ubike.virginia.edu/,SoBi
USA,Warren GM Campus,50,,,,America/New_York,Zagster,GM,Dock-based,http://zagster.com/gm/,Zagster
USA,Washington DC,4502,District Department of Transportation,2010-09-01,,America/New_York,Motivate,Capital Bikeshare,Dock-based,https://www.capitalbikeshare.com/,8D
USA,Washington DC,300,District Department of Transportation,,,America/New_York,Lime,JUMP by Lime,Dockless,https://dc.jumpmobility.com,JUMP
USA,Washington DC,0,DDOT,,,America/New_York,Helbiz,Helbiz,Dock-based,https://helbiz.com/bike,Helbiz
USA,Washington DC (JUMP Scooters),0,DDOT,,,America/New_York,JUMP,JUMP,Dockless Scooters,,SoBi
USA,Washington DC Lime,300,District Department of Transportation,2017-09-01,,America/New_York,Lime,Lime,Dockless Scooters,https://www.li.me/,Lime
USA,Washington DC Lyft,0,District Department of Transportation,,,America/New_York,Lyft,Lyft Scooters,Dockless Scooters,https://www.lyft.com/scooters/washington-dc,Lyft
USA,Washington DC Mobike,300,District Department of Transportation,,,America/New_York,Mobike,Mobike,Dockless,,Mobike
USA,Washington DC Skip,0,District Department of Transportation,,2021-01-15,America/New_York,Skip,Skip,Dockless Scooters,https://skipscooters.com/,Skip
USA,Washington DC Spin,300,District Department of Transportation,,,America/New_York,Spin,Spin,Dockless Scooters,https://www.spin.pm/,Spin
USA,West Hollywood,100,City of West Hollywood,2016-08-30,,America/Los_Angeles,CycleHop,WeHo Pedals,Hybrid,http://www.wehopedals.com/,SoBi
USA,West Palm Beach,0,City of West Palm Beach,,,America/New_York,nextbike,SkyBike,Dock-based,https://skybikewpb.com/,nextbike
USA,Wichita,50,,,,America/Denver,Zagster,Bike Share ICT,Dock-based,http://zagster.com/bikeshareict/,Zagster
USA,Winston-Salem,50,,,,America/New_York,Zagster,"Winston-Salem, NC",Dock-based,http://zagster.com/winstonsalem/,Zagster
